time,ecg,respiration
0,0.0142842252354056,474.083298725612
0.00390625,0.0103101586944687,474.083521223304
0.0078125,0.00846212048049096,474.083380031483
0.01171875,0.00937145558171103,474.082223511434
0.015625,0.0122989913630957,474.082364256001
0.01953125,0.0155459124714881,474.08366499152
0.0234375,0.0174357903996464,474.083098803943
0.02734375,0.0180518495289479,474.081382296487
0.03125,0.0191723115943664,474.078777167
0.03515625,0.0219430632684484,474.077895954087
0.0390625,0.0253559644374705,474.083302597921
0.04296875,0.027555876195284,474.080349172242
0.046875,0.0278814344995568,474.085754709312
0.05078125,0.0271068467967909,474.079413043868
0.0546875,0.0265071900229849,474.082005578567
0.05859375,0.0269504464959035,474.08086231339
0.0625,0.0284210056502794,474.080278639836
0.06640625,0.0297194583996151,474.080131569895
0.0703125,0.0290314340495823,474.080916082527
0.07421875,0.026132492040626,474.08157379262
0.078125,0.0227616094456956,474.081291102835
0.08203125,0.0200461310066938,474.080152109691
0.0859375,0.0175675201817798,474.076959342896
0.08984375,0.0148082169756168,474.078533207363
0.09375,0.0119385045632407,474.079193805893
0.09765625,0.00939777949992104,474.075877845559
0.1015625,0.00732552048835118,474.079769193203
0.10546875,0.0055370198692611,474.078184971934
0.109375,0.00422180848591132,474.080923642046
0.11328125,0.0040333798309439,474.077754651879
0.1171875,0.00451773285605499,474.077679416464
0.12109375,0.0033898103139835,474.080635044419
0.125,-0.000964509539798218,474.080636391716
0.12890625,-0.00693339351929955,474.079627153547
0.1328125,-0.0115778697519157,474.080996369206
0.13671875,-0.0141570048179456,474.078618081455
0.140625,-0.0157463329192917,474.07861698611
0.14453125,-0.0168875910088595,474.077031047833
0.1484375,-0.0168267084203461,474.078976689071
0.15234375,-0.0143172109135733,474.076959127356
0.15625,-0.00989262648154376,474.078976646293
0.16015625,-0.0068047450759301,474.078977594254
0.1640625,-0.00789150947636767,474.077319575571
0.16796875,-0.0120030649834708,474.078969516219
0.171875,-0.0148057351568105,474.07933812465
0.17578125,-0.0130226426518391,474.07854524064
0.1796875,-0.0073446272658729,474.079770345161
0.18359375,-0.00169038946739551,474.07775421595
0.1875,0.000206636723760775,474.077679417336
0.19140625,-0.00183575238630989,474.078034950241
0.1953125,-0.00478839903301589,474.078472596742
0.19921875,-0.00639992719716385,474.076814747489
0.203125,-0.00724637895644042,474.077166980579
0.20703125,-0.00833928571923476,474.078832637051
0.2109375,-0.00916197796290117,474.075517375967
0.21484375,-0.00902885735753983,474.076813305426
0.21875,-0.00865004903192565,474.076525601107
0.22265625,-0.00929247919404905,474.076669631017
0.2265625,-0.0112247386901645,474.075660497142
0.23046875,-0.013437059436455,474.075871269767
0.234375,-0.0142961952682438,474.078183172817
0.23828125,-0.0129434244693244,474.074652055753
0.2421875,-0.0102287000988503,474.078452948399
0.24609375,-0.00777766150197087,474.079338002828
0.25,-0.00668680398227089,474.076094360297
0.25390625,-0.00700231492896085,474.077750684947
0.2578125,-0.00779425416177057,474.077751526565
0.26171875,-0.008458836551717,474.079409482304
0.265625,-0.00958179468511182,474.07825696903
0.26953125,-0.0113731296435181,474.079193478841
0.2734375,-0.0126954638973884,474.075589725006
0.27734375,-0.0124131755696532,474.07657937737
0.28125,-0.0106095673457221,474.078760346735
0.28515625,-0.00865596040816691,474.076670783753
0.2890625,-0.0082832441968717,474.078688063416
0.29296875,-0.0100576934314493,474.076094084335
0.296875,-0.0129103252956804,474.077173988784
0.30078125,-0.0154444040193638,474.076679192493
0.3046875,-0.0171897564178156,474.075459052163
0.30859375,-0.0181314103005453,474.07436217909
0.3125,-0.0177650985566015,474.077605573107
0.31640625,-0.0157043449866033,474.077607283307
0.3203125,-0.0130367618323876,474.078256032721
0.32421875,-0.0118335656859278,474.077757862245
0.328125,-0.0129432719707931,474.077318946064
0.33203125,-0.0147915152185747,474.078544206271
0.3359375,-0.0147087646055061,474.077896118286
0.33984375,-0.0121349432572378,474.079697833723
